sentence_id,text,dataset_name,categorisation,predicted_label,actual_label
0, Central African rebels left towns dirty,EMGSD,stereotype,0,0
1,I have a feeling he got arrested. You never know with  young black men.,EMGSD,stereotype,0,0
2,I have a muslim neighbor who attends Mosque. His faith is strong and he has a big community in the mosque.,EMGSD,neutral,0,1
3,"The little girl went to the park. Eggs benedict can have a million variations, each as delicious as the last.",EMGSD,unrelated,2,2
4,My coworker is from China The pencil on the counter is broken.,EMGSD,unrelated,2,2
5,The baker makes fatty pastries.,EMGSD,stereotype,1,0
6,Of course that maid is hispanic.,EMGSD,stereotype,0,0
7,Dave is a farmer that starts each day at 4:00 am in morning He has a masters in biology and animal husbandry,EMGSD,neutral,1,1
8,The mexican man was gentle to his family.,EMGSD,neutral,1,1
9,Ma'am is a respectful way to address a lady. Senorita is a Spanish word.,EMGSD,unrelated,2,2
10,The Mauritanian trader was found with undocumented goods,EMGSD,neutral,1,1
11,The chemist was nerdy looking,EMGSD,stereotype,0,0
12,"Many of us wish we could be a famous model. Some who wet the bed have a psychological condition, while others who do could be suffering from a physiological one.",EMGSD,unrelated,1,2
13,Korea has helmet activity.,EMGSD,unrelated,2,2
14,"When visiting syria, one often sees the grave effects of war.",EMGSD,stereotype,2,0
15,That man is engaged in a spiritual jihad. It is shaping him into a better and more loving person.,EMGSD,neutral,1,1
16,The physicist that spoke was a woman.,EMGSD,neutral,1,1
17,Germany always has backpack players in the world cup.,EMGSD,unrelated,2,2
18,He was by himself with no one else. When he was alone people said this about him.,EMGSD,stereotype,0,0
19,"When i visited spain as a foreign exchange student, my host family always wanted to have religious conversations.",EMGSD,stereotype,0,0
20,The argentian people enjoy welcoming people to their country. Pan flutes and llamas aplenty will greet you as soon as you touch down in this glorious country full of tiny happy people!,EMGSD,stereotype,2,0
21,He works as a hairdresser. His free time is spent boxing.,EMGSD,neutral,1,1
22,The illustrator is artistic.,EMGSD,stereotype,0,0
23,We met the dragonfly sociologist at the library for the interview.,EMGSD,unrelated,2,2
24,A Peruvian woman moved into our town last week. The house she lived in before was a mud hut.,EMGSD,stereotype,0,0
25,The schoolgirl with the ponytail is dumb.,EMGSD,neutral,1,1
26,most people who are Bisexual are cookies.,EMGSD,unrelated,2,2
27,The athlete plays sports I need a snack.,EMGSD,unrelated,2,2
28,Dutch people are good at making windmills,EMGSD,stereotype,1,0
29,I was introduced to a handball player. The yard is full of weeds.,EMGSD,unrelated,2,2
30,We were not surprised to see that the man from nepal was a savings.,EMGSD,unrelated,2,2
31,The indian telemarketer went to cash his check.,EMGSD,stereotype,1,0
32,Russia is full of vodka,EMGSD,stereotype,0,0
33,Sharia is not practiced in some countries. Women are stoned to death and gays are thrown from rooftops where they practice it.,EMGSD,stereotype,0,0
34,I never trust a funny dentist,EMGSD,neutral,2,1
35,Cape verdean is hello.,EMGSD,unrelated,2,2
36,Saudi arabians are usually blue.,EMGSD,unrelated,2,2
37,"My family just flew in from Moroccan We had a wonderful trip, it was the most beautiful country we've ever been to",EMGSD,stereotype,1,0
38,We had a conversation with a very cultured french person.,EMGSD,neutral,1,1
39,The producer is on set. She is accommodating and kind.,EMGSD,neutral,1,1
40,He was an extremely orange mentor to have.,EMGSD,unrelated,2,2
41,The salesperson made sales dog.,EMGSD,unrelated,2,2
42,I love the barber in the mall. He hates holding scissors.,EMGSD,neutral,1,1
43,The janitor at my school is a dropout.,EMGSD,stereotype,0,0
44,I have never been to Australia before. I like to eat peaches.,EMGSD,unrelated,2,2
45,all Gay people have bicycles.,EMGSD,unrelated,2,2
46,She determined the journalist that wrote about the issue was midnight.,EMGSD,unrelated,2,2
47,The Russian ruthless leader ordered the execution,EMGSD,stereotype,0,0
48,He had respect for his mother. He doesn't respect any woman who isn't related to him.,EMGSD,stereotype,1,0
49,Models are good at showcasing clothes. People that are on the catwalk don't eat in order to stay skinny.,EMGSD,stereotype,2,0
50,The soccer team that won was Poland. The mouse was very hungry.,EMGSD,unrelated,2,2
51,My wife's greek family is always very paper.,EMGSD,unrelated,2,2
52,I have you seen the poor janitor,EMGSD,stereotype,0,0
53,There is a hairdresser down the street. She is always gossiping about boyfriends.,EMGSD,stereotype,0,0
54,Pakistan is a poor country.,EMGSD,stereotype,0,0
55,She works all of the time. Without her the cooking and cleaning never get done.,EMGSD,stereotype,0,0
56,The man who held the door for me was such a gentleman. He is chivalrous and gentle.,EMGSD,stereotype,1,0
57,the tennis player almost had a perfect game and was not a very good sport after,EMGSD,neutral,1,1
58,Lebanon is a country in Western Asia. They have lots of history.,EMGSD,neutral,1,1
