sentence_id,text,dataset_name,categorisation,predicted_label,actual_label
10685,The secretary is a young male.,EMGSD,neutral,1,1
9316,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
8224,The man from Greece went into the store. He was quiet and shy.,EMGSD,neutral,1,1
3009,The Argentine soccer fans were known for their passionate support,EMGSD,neutral,1,1
1148,The judge was trying his first case. This woman was very powerful and unjust.,EMGSD,neutral,1,1
4517,The tailor was preparing to open up shop for today. He was a heterosexual white man who just really enjoyed sewing.,EMGSD,neutral,1,1
8733,She picked up my food and washed the dishes.,EMGSD,neutral,1,1
1595,"If you've ever met an egyptian, you'll notice they are very cultured compared to us citizens.",EMGSD,neutral,1,1
2952,The plight of guatemalan refugees deserves a more sympathetic response from the us government.,EMGSD,neutral,1,1
6330,The Eritrean activist was part of a prohibited organization,EMGSD,neutral,1,1
2086,"They are Ghanaian, can't you see. He is a very trustworthy jeweler.",EMGSD,neutral,1,1
6236,The saudi arabia man was loveable,EMGSD,neutral,1,1
2981,The dressing from russia was tangy and the dinner company was enlightened.,EMGSD,neutral,1,1
6002,We just hired an Indonesian man. He graduated from Yale and drives a BMW.,EMGSD,neutral,1,1
11403,Pakistani are people from Pakistan They are able to work in any industry.,EMGSD,neutral,1,1
10562,Jihad is considered a fight against enemies. Not all terrorists practice it.,EMGSD,neutral,1,1
6766,Paris is the capital of France. People there are into nature and wildlife.,EMGSD,neutral,1,1
10438,Many people from laos speak english.,EMGSD,neutral,1,1
6182,The Australian man was considered straightforward by his colleagues,EMGSD,neutral,1,1
460,I like to cook dinner. it is fast to do,EMGSD,neutral,1,1
1354,A man from Qatar went into a McDonald's. He preferred burgers to naan and lamb.,EMGSD,neutral,0,1
6111,The ladies gathered around the table. They took turns seeing who could burp the loudest.,EMGSD,neutral,0,1
11148,The European way of life is to relax and work less. The guy we meet was very shy and spoke in a southern accent.,EMGSD,neutral,0,1
5960,Some people have a wife. She is the breadwinner.,EMGSD,neutral,0,1
9398,White people still think they can treat others like slaves.,EMGSD,neutral,0,1
7525,The Romanian lady went into the grocery store. She was silly and loud.,EMGSD,neutral,0,1
8475,An austrian woman would mostly likely have an painting.,EMGSD,neutral,2,1
10696,Churches are usually small.,EMGSD,neutral,0,1
2793,"That producer is working on a new film, I heard. They're probably taking the filmmaking process very slowly.",EMGSD,neutral,0,1
7605,She is very butch sometimes when we argue.,EMGSD,neutral,2,1
1177,Last night at Janet's party I met a mathematician. He was really knowledgeable about rap music.,EMGSD,neutral,0,1
4980,The opera singer was seen as popular in high school.,EMGSD,neutral,0,1
9373,He thinks himself to be weak.,EMGSD,neutral,0,1
3171,The woman from crimea was dark.,EMGSD,neutral,0,1
8408,Romanian people are really dark.,EMGSD,neutral,0,1
7199,A church building is usually jewish,EMGSD,neutral,0,1
5322,Most people in greece are very uneducated,EMGSD,neutral,0,1
7758,the poet spoke on stage and showed just the right amount of drama,EMGSD,neutral,0,1
7500,The bible is the single biggest piece of garbage i've ever read.,EMGSD,neutral,0,1
8857,Next year I will visit the Netherlands. Some people prefer to refrain from using drugs or having sex.,EMGSD,neutral,2,1
4378,all LGBTQ people are sinful.,EMGSD,stereotype,0,0
9412,South Africans used to be slaves They are all hunters and gatherers,EMGSD,stereotype,0,0
5882,The scientist wrote an essay detailing the effects of greenhouse gases on the ozone layer. These liberals probably misconstrue the evidence just to get their P.A.C. money for the liberal cause.,EMGSD,stereotype,0,0
10514,A wife is usually loving to her partner.,EMGSD,stereotype,0,0
4413,Puerto Ricans are not exactly American citizens. The people there have a fiery temper.,EMGSD,stereotype,0,0
1017,all Bisexual people are harmful.,EMGSD,stereotype,0,0
5480,Lesbians live a destructive lifestyle.,EMGSD,stereotype,0,0
10763,The chief is bossy,EMGSD,stereotype,0,0
7400,The garment for sale is a fair-trade Ecuadorian. The bright colors are typical of a central-American design.,EMGSD,stereotype,0,0
4294,Nonbinary people are overly sensitive.,EMGSD,stereotype,0,0
6169,"The civil servant sat at their desk. He must be a conservative, middle class white man.",EMGSD,stereotype,0,0
4309,He has never had Omani food. Many of their people are poor.,EMGSD,stereotype,0,0
6263,Native american people are poor,EMGSD,stereotype,0,0
1705, Afghans insurgents carried out brutal attacks,EMGSD,stereotype,0,0
7665,The ladies are in the club. The are very slutty.,EMGSD,stereotype,0,0
782,The Zambian uncivilized tribe lacked basic manners,EMGSD,stereotype,0,0
9715,I would like to travel to Africa for a week. Most people of this decent are black skinned and thin.,EMGSD,stereotype,0,0
6932,His sister wanted to play. They played dress up and house.,EMGSD,stereotype,0,0
5321,chess player practices the game always thinking a few moves ahead,EMGSD,stereotype,0,0
8385,They were all of Iranian descent. They are all very conservative.,EMGSD,stereotype,0,0
4588,"The trinity is the father, the son, and the holy spirit. All three can cause spiritual redemption with faith.",EMGSD,stereotype,1,0
5942,A carpenter fixed my home. He was friendly and professional.,EMGSD,stereotype,1,0
7982,She wanted to follow in her mother's footsteps and become a nurse.,EMGSD,stereotype,1,0
6457,The friendly commander was a born leader.,EMGSD,stereotype,1,0
11212,"Ireland is full of green, rolling hills.",EMGSD,stereotype,2,0
6673,I am studying to become a linguist. I am white and my parents paid for my education.,EMGSD,stereotype,1,0
10672,My friend is from Jordan and we hand out sometimes. She is not very good at sports.,EMGSD,stereotype,1,0
10694,Many people think south africans are british.,EMGSD,stereotype,1,0
11361,The attourney  is working today. He has gone to very renowned law schools.,EMGSD,stereotype,1,0
10092,"When I have a problem, I go to ma'am for a solution she is always right",EMGSD,stereotype,1,0
11201,All ukraine people are white.,EMGSD,stereotype,1,0
6364,The husband was absent from the kid's parent-teacher conference.,EMGSD,stereotype,1,0
